brew_id,potion_sku,shop_id,cauldron_id,brewed_at,batch_size,brew_duration_minutes,quality_check,brewer_name
BRW-00110,POT-0004,SHP-14,CDR-39,2025-07-08 05:52:49,26,116,pass,Caspian Wandwright
BRW-00111,POT-0103,SHP-10,CDR-30,2026-02-10 09:21:06,41,125,pass,Gideon Hollowbranch
BRW-00112,POT-0089,SHP-09,CDR-34,2024-11-08T06:05:41Z,14,87,pass,Belladonna Emberwhisk
BRW-00113,POT-0093,SHP-08,CDR-26,2024-09-21T07:37:29Z,23,123,pass,Thaddeus Ravenscroft
BRW-00114,POT-0105,SHP-15,CDR-33,2025-10-05T08:41:21Z,29,152,pass,Elowen Gorsebush
BRW-00115,POT-0082,SHP-02,CDR-21,2025-09-18 10:39:56,51,49,pass,Belladonna Mistlethorn
BRW-00116,POT-0024,SHP-13,CDR-37,2025-11-21T11:59:38Z,47,141,pass,Rowan Hazelrigg
BRW-00117,POT-0094,SHP-09,CDR-31,2026-06-13 06:51:29,11,126,pass,Ignatius Ravenscroft
BRW-00118,POT-0025,SHP-03,CDR-13,2025-03-10T08:32:20Z,38,70,PASS,Grizelda Mistlethorn
BRW-00119,POT-0037,SHP-12,CDR-21,2026-03-08 07:32:02,21,72,pass,Caspian Brightmantle
BRW-00120,POT-0068,SHP-07,CDR-37,2024-05-17 10:50:53,44,90,pass,Belladonna Emberwhisk
BRW-00121,POT-0001,SHP-05,CDR-07,2026-02-10T08:26:58Z,42,121,pass,Grizelda Mistlethorn
BRW-00122,POT-0028,SHP-06,CDR-38,2026-03-31 05:03:25,56,59,pass,Juniper Ashgrove
BRW-00123,POT-0043,SHP-02,CDR-11,2025-06-30T07:22:01Z,29,69,pass,Thaddeus Owlsworth
BRW-00124,POT-0113,SHP-12,CDR-38,2026-03-18 11:18:20,49,153,pass,Belladonna Mistlethorn
BRW-00125,POT-0119,SHP-05,CDR-03,2024-05-06T07:04:38Z,39,60,Pass,Gideon Gorsebush
BRW-00126,POT-0094,SHP-14,CDR-38,2024-05-19 07:01:32,57,100,PASS,Quilla Copperkettle
BRW-00127,POT-0083,SHP-07,CDR-09,2024-11-23 11:21:36,50,123,pass,Seraphine Mistlethorn
BRW-00128,POT-0031,SHP-03,CDR-18,2026-04-26 07:48:38,34,46,pass,Seraphine Mistlethorn
BRW-00129,POT-0045,SHP-06,CDR-18,2024-05-13T09:37:01Z,33,50,pass,Rowan Hazelrigg
BRW-00130,POT-0054,SHP-01,CDR-08,2026-05-25 09:38:38,15,54,pass,Isolde Hazelrigg
BRW-00131,POT-0013,SHP-02,CDR-10,2026-05-18T05:35:13Z,18,123,Pass,Isolde Duskwater
BRW-00132,POT-0108,SHP-14,CDR-09,2025-09-15T11:45:39Z,30,59,pass,Quilla Jackdaw
BRW-00133,POT-0069,SHP-08,CDR-31,2024-05-20 06:33:32,41,121,pass,Caspian Wandwright
BRW-00134,POT-0044,SHP-06,CDR-13,2026-06-11 06:52:59,48,50,pass,Umbra Barrowmere
BRW-00135,POT-0013,SHP-11,CDR-23,2026-02-16T09:37:59Z,27,91,pass,Thaddeus Owlsworth
BRW-00136,POT-0048,SHP-12,CDR-25,2025-12-28T06:36:58Z,48,102,PASS,Gideon Brightmantle
BRW-00137,POT-0081,SHP-07,CDR-12,2025-05-06T05:03:03Z,49,92,pass,Elowen Gorsebush
BRW-00138,POT-0008,SHP-06,CDR-36,2026-02-07T06:43:31Z,46,75,pass,Caspian Brightmantle
BRW-00139,POT-0093,SHP-09,CDR-11,2024-06-14T08:40:40Z,51,132,PASS,Isolde Frostpetal
BRW-00140,POT-0054,SHP-15,CDR-21,2026-05-26T05:03:07Z,58,38,pass,Rowan Hazelrigg
BRW-00141,POT-0089,SHP-14,CDR-37,2024-06-22 05:35:21,58,116,FAIL,Juniper Ashgrove
BRW-00142,POT-0089,SHP-04,CDR-36,2026-02-24 11:47:10,41,97,pass,Caspian Brightmantle
BRW-00143,POT-0020,SHP-10,CDR-24,2025-09-27T05:54:06Z,51,96,PASS,Fenwick Barrowmere
BRW-00144,POT-0046,SHP-10,CDR-28,2025-05-06 08:06:41,50,35,fail,Caspian Wandwright
BRW-00145,POT-0103,SHP-10,CDR-03,2025-07-26T06:48:22Z,33,111,pass,Thaddeus Ravenscroft
BRW-00146,POT-0001,SHP-02,CDR-29,2025-01-14T05:40:12Z,29,116,pass,Caspian Wandwright
BRW-00147,POT-0012,SHP-07,CDR-32,2025-03-24 11:29:25,12,85,PASS,Vesper Brightmantle
BRW-00148,POT-0098,SHP-02,CDR-11,2026-03-02T07:03:07Z,22,91,pass,Isolde Frostpetal
BRW-00149,POT-0042,SHP-04,CDR-32,2025-07-04T10:28:44Z,50,109,pass,Isolde Hazelrigg
BRW-00150,POT-0102,SHP-03,CDR-05,2025-12-25 08:33:10,58,63,pass,Isolde Frostpetal
BRW-00151,POT-0052,SHP-05,CDR-18,2025-07-26T06:14:17Z,47,74,fail,Isolde Frostpetal
BRW-00152,POT-0084,SHP-10,CDR-17,2025-04-03T06:51:41Z,47,108,pass,Dorian Saltmarsh
BRW-00153,POT-0024,SHP-11,CDR-14,2026-01-07T10:26:12Z,37,110,pass,Belladonna Mistlethorn
BRW-00154,POT-0035,SHP-03,CDR-14,2025-09-12T05:41:44Z,13,65,pass,Vesper Brightmantle
BRW-00155,POT-0029,SHP-09,CDR-20,2026-04-21T11:49:03Z,33,56,pass,Vesper Brightmantle
BRW-00156,POT-0016,SHP-14,CDR-17,2026-05-07T11:46:15Z,34,114,pass,Quilla Copperkettle
BRW-00157,POT-0095,SHP-10,CDR-28,2026-02-18T08:16:24Z,50,172,fail,Umbra Barrowmere
BRW-00158,POT-0028,SHP-12,CDR-18,2026-03-19T09:38:50Z,25,61,pass,Grizelda Mistlethorn
BRW-00159,POT-0048,SHP-08,CDR-24,2026-04-11 09:22:07,11,131,pass,Thaddeus Owlsworth
BRW-00160,POT-0055,SHP-01,CDR-16,2026-02-08 06:24:18,50,93,pass,Quilla Copperkettle
BRW-00161,POT-0090,SHP-13,CDR-29,2025-02-18 09:44:42,24,82,Pass,Grizelda Mistlethorn
BRW-00162,POT-0079,SHP-08,CDR-16,2026-01-06 05:44:28,30,62,pass,Elowen Gorsebush
BRW-00163,POT-0021,SHP-08,CDR-10,2026-05-25T05:11:25Z,37,83,Pass,Morwenna Netherfield
BRW-00164,POT-0042,SHP-13,CDR-11,2025-02-13T07:37:11Z,43,123,FAIL,Belladonna Emberwhisk
BRW-00165,POT-0001,SHP-02,CDR-38,2026-06-14 05:17:07,35,131,pass,Seraphine Mistlethorn
BRW-00166,POT-0068,SHP-07,CDR-03,2025-07-08T10:37:13Z,60,89,pass,Gideon Stormbottle
BRW-00167,POT-0113,SHP-11,CDR-32,2026-06-12 05:44:18,13,142,Fail,Gideon Stormbottle
BRW-00168,POT-0107,SHP-02,CDR-29,2025-09-27T07:09:05Z,16,62,pass,Gideon Hollowbranch
BRW-00169,POT-0105,SHP-15,CDR-14,2025-07-06T09:57:23Z,50,149,Pass,Maribel Glimmerstone
BRW-00170,POT-0076,SHP-13,CDR-33,2025-10-28 10:43:20,28,34,pass,Morwenna Netherfield
BRW-00171,POT-0119,SHP-15,CDR-06,2026-05-11 09:24:24,22,84,pass,Nimbus Thistledown
BRW-00172,POT-0090,SHP-10,CDR-23,2025-03-06 05:29:38,58,124,pass,Dorian Saltmarsh
BRW-00173,POT-0116,SHP-15,CDR-05,2025-08-23T05:31:32Z,15,108,pass,Umbra Barrowmere
BRW-00174,POT-0040,SHP-15,CDR-22,2025-02-04 09:17:35,47,23,pass,Ignatius Ravenscroft
BRW-00175,POT-0036,SHP-02,CDR-13,2025-08-30T05:06:12Z,59,69,pass,Isolde Frostpetal
BRW-00176,POT-0041,SHP-08,CDR-39,2024-08-21T05:04:36Z,38,142,pass,Gideon Gorsebush
BRW-00177,POT-0106,SHP-06,CDR-08,2025-06-05 06:18:09,40,53,pass,Seraphine Mistlethorn
BRW-00178,POT-0063,SHP-13,CDR-33,2024-11-03T09:21:15Z,41,64,Pass,Morwenna Netherfield
BRW-00179,POT-0009,SHP-08,CDR-23,2026-02-19T06:05:45Z,46,119,pass,Isolde Hazelrigg
BRW-00180,POT-0037,SHP-01,CDR-05,2026-03-08T07:41:45Z,49,,pass,Caspian Brightmantle
BRW-00181,POT-0101,SHP-12,CDR-02,2025-04-03T11:15:10Z,10,156,Fail,Gideon Hollowbranch
BRW-00182,POT-0091,SHP-06,CDR-15,2024-07-17T11:41:34Z,19,36,pass,Thaddeus Ravenscroft
BRW-00183,POT-0107,SHP-02,CDR-35,2025-06-07T11:11:22Z,43,64,Pass,Belladonna Mistlethorn
BRW-00184,POT-0036,SHP-14,CDR-26,2025-06-11 05:53:15,59,79,pass,Fenwick Barrowmere
BRW-00185,POT-0093,SHP-02,CDR-02,2025-04-15T05:02:53Z,45,131,pass,Vesper Brightmantle
BRW-00186,POT-0119,SHP-02,CDR-26,2026-05-20 09:43:23,51,100,Pass,Vesper Brightmantle
BRW-00187,POT-0046,SHP-05,CDR-25,2025-12-17T11:24:59Z,39,42,pass,Gideon Gorsebush
BRW-00188,POT-0102,SHP-06,CDR-12,2024-05-30 06:10:16,32,70,fail,Gideon Stormbottle
BRW-00189,POT-0042,SHP-10,CDR-22,2025-09-20 08:00:26,50,119,pass,Caspian Wandwright
BRW-00190,POT-0040,SHP-01,CDR-17,2025-10-29 07:14:49,55,45,pass,Ignatius Ravenscroft
BRW-00191,POT-0036,SHP-07,CDR-11,2024-06-24T07:18:31Z,38,101,pass,Dorian Saltmarsh
BRW-00192,POT-0045,SHP-04,CDR-05,2025-01-23 06:31:50,40,77,pass,Fenwick Barrowmere
BRW-00193,POT-0107,SHP-06,CDR-32,2026-01-16T06:32:29Z,19,53,Pass,Fenwick Barrowmere
BRW-00194,POT-0048,SHP-08,CDR-16,2026-04-10 07:39:52,31,,PASS,Quilla Copperkettle
BRW-00195,POT-0026,SHP-07,CDR-34,2025-12-31T11:24:07Z,18,126,pass,Thaddeus Owlsworth
BRW-00196,POT-0060,SHP-02,CDR-23,2026-05-16T09:13:55Z,51,153,Pass,Caspian Brightmantle
BRW-00197,POT-0023,SHP-15,CDR-08,2024-09-23 09:21:34,39,130,pass,Corvin Netherfield
BRW-00198,POT-0058,SHP-06,CDR-01,2024-05-05 11:54:48,31,105,pass,Belladonna Mistlethorn
BRW-00199,POT-0017,SHP-07,CDR-20,2025-03-09T07:14:50Z,36,169,Pass,Grizelda Mistlethorn
BRW-00200,POT-0083,SHP-15,CDR-24,2024-08-20 08:44:51,55,130,pass,Fenwick Barrowmere
BRW-00201,POT-0093,SHP-15,CDR-12,2024-10-16T08:06:12Z,39,89,pass,Gideon Brightmantle
BRW-00202,POT-0044,SHP-07,CDR-23,2025-06-27T07:41:49Z,31,15,pass,Vesper Brightmantle
BRW-00203,POT-0087,SHP-05,CDR-33,2026-05-31T10:45:53Z,52,33,pass,Isolde Frostpetal
BRW-00204,POT-0006,SHP-03,CDR-40,2026-02-17T07:19:54Z,29,105,pass,Vesper Brightmantle
BRW-00205,POT-0066,SHP-02,CDR-23,2026-03-28T09:21:43Z,29,119,pass,Caspian Brightmantle
BRW-00206,POT-0054,SHP-07,CDR-23,2026-03-25 09:33:14,45,30,pass,Seraphine Mistlethorn
BRW-00207,POT-0037,SHP-01,CDR-08,2026-03-09 07:41:34,15,86,pass,Belladonna Emberwhisk
BRW-00208,POT-0044,SHP-04,CDR-14,2025-02-02T05:46:06Z,30,30,Pass,Juniper Ashgrove
BRW-00209,POT-0094,SHP-09,CDR-06,2026-03-16 11:13:15,56,126,fail,Gideon Brightmantle
BRW-00210,POT-0065,SHP-15,CDR-27,2025-06-12T06:35:29Z,18,56,pass,Umbra Barrowmere
BRW-00211,POT-0040,SHP-11,CDR-21,2025-03-29T07:25:18Z,35,29,pass,Caspian Brightmantle
BRW-00212,POT-0103,SHP-13,CDR-01,2026-02-06 05:48:52,42,108,pass,Gideon Brightmantle
BRW-00213,POT-0027,SHP-07,CDR-19,2024-11-25T09:10:16Z,44,93,pass,Vesper Brightmantle
BRW-00214,POT-0015,SHP-02,CDR-34,2026-05-07T11:18:02Z,54,65,pass,Caspian Wandwright
BRW-00215,POT-0036,SHP-13,CDR-25,2024-08-17T10:01:35Z,60,99,pass,Ignatius Ravenscroft
BRW-00216,POT-0100,SHP-01,CDR-02,2025-06-20T06:14:46Z,12,79,pass,Morwenna Netherfield
BRW-00217,POT-0063,SHP-10,CDR-14,2026-02-22 08:44:19,57,79,pass,Maribel Glimmerstone
BRW-00218,POT-0013,SHP-09,CDR-19,2026-05-04T09:42:50Z,60,100,pass,Vesper Brightmantle
BRW-00219,POT-0059,SHP-10,CDR-02,2026-06-16T06:51:40Z,50,127,pass,Gideon Gorsebush
BRW-00220,POT-0030,SHP-08,CDR-08,2026-01-01T11:59:45Z,27,63,pass,Elowen Gorsebush
BRW-00221,POT-0055,SHP-01,CDR-09,2025-11-18T09:50:34Z,17,121,pass,Gideon Stormbottle
BRW-00222,POT-0113,SHP-12,CDR-22,2025-08-02T06:34:13Z,59,151,fail,Seraphine Mistlethorn
BRW-00223,POT-0090,SHP-01,CDR-32,2025-10-04T08:33:07Z,46,72,pass,Isolde Hazelrigg
BRW-00224,POT-0046,SHP-01,CDR-20,2024-11-30 11:01:46,15,79,PASS,Maribel Glimmerstone
BRW-00225,POT-0087,SHP-09,CDR-26,2025-12-18 10:33:42,53,41,Pass,Seraphine Mistlethorn
BRW-00226,POT-0022,SHP-08,CDR-09,2026-04-16 08:39:04,34,112,PASS,Fenwick Barrowmere
BRW-00227,POT-0009,SHP-04,CDR-02,2025-05-06 06:15:07,52,72,pass,Dorian Saltmarsh
BRW-00228,POT-0011,SHP-11,CDR-05,2024-11-03T11:30:46Z,43,96,pass,Thaddeus Ravenscroft
BRW-00229,POT-0057,SHP-05,CDR-01,2026-04-22T11:17:28Z,49,67,pass,Gideon Hollowbranch
BRW-00230,POT-0073,SHP-14,CDR-33,2024-10-17T11:17:54Z,26,84,fail,Gideon Brightmantle
BRW-00231,POT-0095,SHP-14,CDR-08,2025-11-30T07:40:58Z,14,135,Pass,Seraphine Mistlethorn
BRW-00232,POT-0001,SHP-09,CDR-07,2026-02-19T09:38:09Z,28,88,pass,Thaddeus Owlsworth
BRW-00233,POT-0029,SHP-08,CDR-02,2025-06-14 07:27:12,46,63,Fail,Quilla Jackdaw
BRW-00234,POT-0069,SHP-10,CDR-05,2025-06-26T07:13:22Z,10,128,pass,Belladonna Mistlethorn
BRW-00235,POT-0096,SHP-02,CDR-18,2026-05-02T11:46:53Z,24,137,PASS,Nimbus Thistledown
BRW-00236,POT-0014,SHP-15,CDR-39,2026-05-02T10:08:44Z,50,,pass,Quilla Jackdaw
BRW-00237,POT-0067,SHP-08,CDR-31,2026-03-08T06:48:23Z,22,60,Pass,Gideon Hollowbranch
BRW-00238,POT-0100,SHP-05,CDR-38,2024-06-19T05:31:48Z,55,88,pass,Vesper Brightmantle
